chamber,name,party,state
Camara dos Deputados,Enio Verri,PT,PR
Camara dos Deputados,Enrico Misasi,MDB,SP
Camara dos Deputados,Erika Kokay,PT,DF
Camara dos Deputados,Eros Biondini,PL,MG
Senado,Esperidião Amin,PP,SC
Camara dos Deputados,Euclydes Pettersen,PSC,MG
Camara dos Deputados,Evair Vieira De Melo,PP,ES
Camara dos Deputados,Expedito Netto,PSD,RO
Senado,Fabiano Contarato,PT,ES
Camara dos Deputados,Fábio Henrique,UNIÃO,SE
Camara dos Deputados,Fábio Ramalho,MDB,MG
Camara dos Deputados,Fabio Reis,PSD,SE
Camara dos Deputados,Fabio Schiochet,UNIÃO,SC
Camara dos Deputados,Fábio Trad,PSD,MS
Camara dos Deputados,Fausto Pinato,PP,SP
Camara dos Deputados,Felício Laterça,PP,RJ
Camara dos Deputados,Felipe Carreras,PSB,PE
Camara dos Deputados,Felipe Francischini,UNIÃO,PR
Camara dos Deputados,Felipe Rigoni,UNIÃO,ES
Camara dos Deputados,Félix Mendonça Júnior,PDT,BA
Camara dos Deputados,Fernanda Melchionna,PSOL,RS
Senado,Fernando Bezerra Coelho,MDB,PE
Camara dos Deputados,Fernando Coelho Filho,UNIÃO,PE
Senado,Fernando Collor,PTB,AL
Camara dos Deputados,Fernando Monteiro,PP,PE
Camara dos Deputados,Fernando Rodolfo,PL,PE
Camara dos Deputados,Filipe Barros,PL,PR
Camara dos Deputados,Flávia Arruda,PL,DF
Camara dos Deputados,Flávia Morais,PDT,GO
Camara dos Deputados,Flaviano Melo,MDB,AC
Senado,Flávio Arns,PODEMOS,PR
Senado,Flávio Bolsonaro,PL,RJ
Camara dos Deputados,Flávio Nogueira,PT,PI
Camara dos Deputados,Francisco Jr.,PSD,GO
Camara dos Deputados,Franco Cartafina,PP,MG
Camara dos Deputados,Fred Costa,PATRIOTA,MG
Camara dos Deputados,Frei Anastacio Ribeiro,PT,PB
Camara dos Deputados,Gelson Azevedo,PL,RJ
Camara dos Deputados,Genecias Noronha,PL,CE
Camara dos Deputados,General Girão,PL,RN
Camara dos Deputados,General Peternelli,UNIÃO,SP
Camara dos Deputados,Geninho Zuliani,UNIÃO,SP
Camara dos Deputados,Geovania De Sá,PSDB,SC
Camara dos Deputados,Gervásio Maia,PSB,PB
Camara dos Deputados,Giacobo,PL,PR
Camara dos Deputados,Gilberto Abramo,REPUBLICANOS,MG
Camara dos Deputados,Gilberto Nascimento,PSC,SP
Camara dos Deputados,Gil Cutrim,REPUBLICANOS,MA
Camara dos Deputados,Gilson Marques,NOVO,SC
Senado,Giordano,MDB,SP
Camara dos Deputados,Giovani Cherini,PL,RS
Camara dos Deputados,Giovani Feltes,MDB,RS
Camara dos Deputados,Glauber Braga,PSOL,RJ
Camara dos Deputados,Glaustin Da Fokus,PSC,GO
Camara dos Deputados,Gleisi Hoffmann,PT,PR
Camara dos Deputados,Gonzaga Patriota,PSB,PE
Camara dos Deputados,Greyce Elias,AVANTE,MG
Senado,Guaracy Silveira,PP,TO
Camara dos Deputados,Guiga Peixoto,PSC,SP
Camara dos Deputados,Guilherme Mussi,PP,SP
Camara dos Deputados,Gurgel,PL,RJ
Camara dos Deputados,Gustavo Fruet,PDT,PR
Camara dos Deputados,Gustinho Ribeiro,REPUBLICANOS,SE
Camara dos Deputados,Gutemberg Reis,MDB,RJ
Camara dos Deputados,Haroldo Cathedral,PSD,RR
Camara dos Deputados,Heitor Freire,UNIÃO,CE
Camara dos Deputados,Heitor Schuch,PSB,RS
Camara dos Deputados,Helder Salomão,PT,ES
Camara dos Deputados,Hélio Costa,PSD,SC
Camara dos Deputados,Hélio Leite,UNIÃO,PA
Camara dos Deputados,Helio Lopes,PL,RJ
Camara dos Deputados,Henrique Fontana,PT,RS
Camara dos Deputados,Hercílio Coelho Diniz,MDB,MG
Camara dos Deputados,Herculano Passos,REPUBLICANOS,SP
Camara dos Deputados,Hermes Parcianello,MDB,PR
Camara dos Deputados,Hildo Rocha,MDB,MA
Camara dos Deputados,Hiran Gonçalves,PP,RR
Camara dos Deputados,Hugo Leal,PSD,RJ
Camara dos Deputados,Hugo Motta,REPUBLICANOS,PB
Senado,Humberto Costa,PT,PE
Camara dos Deputados,Idilvan Alencar,PDT,CE
Camara dos Deputados,Igor Kannário,UNIÃO,BA
Camara dos Deputados,Igor Timo,PODE,MG
Camara dos Deputados,Iracema Portella,PP,PI
Senado,Irajá,PSD,TO
Camara dos Deputados,Isnaldo Bulhões Jr.,MDB,AL
Camara dos Deputados,Ivan Valente,PSOL,SP
Senado,Ivete da Silveira,MDB,SC
Senado,Izalci Lucas,PSDB,DF
Senado,Jader Barbalho,MDB,PA
Camara dos Deputados,Jandira Feghali,PCdoB,RJ
Camara dos Deputados,Jaqueline Cassol,PP,RO
Senado,Jaques Wagner,PT,BA
Senado,Jarbas Vasconcelos,MDB,PE
Senado,Jayme Campos,UNIÃO,MT
Senado,Jean Paul Prates,PT,RN
Camara dos Deputados,Jefferson Campos,PL,SP
Camara dos Deputados,Jerônimo Goergen,PP,RS
Camara dos Deputados,Jéssica Sales,MDB,AC
Camara dos Deputados,Jesus Sérgio,PDT,AC
Camara dos Deputados,Jhonatan De Jesus,REPUBLICANOS,RR
Camara dos Deputados,João Campos,REPUBLICANOS,GO
Camara dos Deputados,João Carlos Bacelar,PL,BA
Camara dos Deputados,João Daniel,PT,SE
Camara dos Deputados,João Maia,PL,RN
Camara dos Deputados,João Marcelo Souza,MDB,MA
Camara dos Deputados,João Roma,PL,BA
Camara dos Deputados,Joaquim Passarinho,PL,PA
Camara dos Deputados,Joceval Rodrigues,CIDADANIA,BA
Camara dos Deputados,Joenia Wapichana,REDE,RR
Camara dos Deputados,Joice Hasselmann,PSDB,SP
Camara dos Deputados,Jones Moura,PSD,RJ
Camara dos Deputados,Jorge Braz,REPUBLICANOS,RJ
Senado,Jorge Kajuru,PODEMOS,GO
Camara dos Deputados,Jorge Solla,PT,BA
Camara dos Deputados,José Airton Félix Cirilo,PT,CE
Camara dos Deputados,José Guimarães,PT,CE
Camara dos Deputados,Joseildo Ramos,PT,BA
Camara dos Deputados,Jose Mario Schreiner,MDB,GO
Camara dos Deputados,José Medeiros,PL,MT
Camara dos Deputados,José Nelto,PP,GO
Camara dos Deputados,José Priante,MDB,PA
Camara dos Deputados,José Ricardo,PT,AM
Camara dos Deputados,José Rocha,UNIÃO,BA
