chamber,name,wikipedia,ID,party,state
Camara dos Deputados,Éder Mauro Cardoso Barra,https://pt.wikipedia.org/wiki/Éder_Mauro,Q20942015,PL,PA
Camara dos Deputados,Delegado Marcelo Freitas,,,UNIÃO,MG
Camara dos Deputados,Pablo Oliva,https://pt.wikipedia.org/wiki/Pablo_Oliva,Q60782616,UNIÃO,AM
Camara dos Deputados,Delegado Waldir,https://pt.wikipedia.org/wiki/Delegado_Waldir,Q20045716,UNIÃO,GO
Camara dos Deputados,Denis Bezerra,https://pt.wikipedia.org/wiki/Denis_Bezerra,Q58996186,PSB,CE
Camara dos Deputados,Diego Andrade,,,PSD,MG
Camara dos Deputados,Diego Garcia,,,REPUBLICANOS,PR
Camara dos Deputados,Dimas Fabiano Toledo Junior,https://pt.wikipedia.org/wiki/Dimas_Fabiano,Q10266351,PP,MG
Camara dos Deputados,Domingos Neto,https://pt.wikipedia.org/wiki/Domingos_Neto,Q21020012,PSD,CE
Camara dos Deputados,Domingos Sávio,,,PL,MG
Camara dos Deputados,Dr. Agripino Magalhães,,,UNIÃO,CE
Camara dos Deputados,Dr. Frederico,,,PATRIOTA,MG
Camara dos Deputados,Dr. Jaziel,https://pt.wikipedia.org/wiki/Jaziel_Pereira,Q59003788,PL,CE
Camara dos Deputados,Leonardo Ribeiro Albuquerque,https://pt.wikipedia.org/wiki/Leonardo_Ribeiro_Albuquerque,Q60784847,REPUBLICANOS,MT
Camara dos Deputados,Dr. Luiz Antonio Teixeira Jr.,,,PP,RJ
Camara dos Deputados,Luiz Ovando,https://pt.wikipedia.org/wiki/Luiz_Ovando,Q60782558,PP,MS
Camara dos Deputados,Dr. Zacarias Calil,https://pt.wikipedia.org/wiki/Zacharias_Calil,Q59572975,UNIÃO,GO
Camara dos Deputados,Soraya Manato,https://pt.wikipedia.org/wiki/Soraya_Manato,Q60782571,PTB,ES
Camara dos Deputados,Dra. Vanda Milani,https://pt.wikipedia.org/wiki/Vanda_Milani,Q59284394,PROS,AC
Camara dos Deputados,Dulce Miranda,https://pt.wikipedia.org/wiki/Dulce_Miranda,Q28677571,MDB,TO
Camara dos Deputados,Edilázio Júnior,https://pt.wikipedia.org/wiki/Edilázio_Júnior,Q28072944,PSD,MA
Camara dos Deputados,Edio Lopes,,,PL,RR
Camara dos Deputados,Edna Henrique,https://pt.wikipedia.org/wiki/Edna_Henrique,Q59203208,REPUBLICANOS,PB
Camara dos Deputados,Eduardo Barbosa,,,PSDB,MG
Camara dos Deputados,Eduardo Bismarck,https://pt.wikipedia.org/wiki/Eduardo_Bismarck,Q58996577,PDT,CE
